 # ID       Xpix           Wavelength          Intens       Line 
    1      111.3        7865.96980000             1.0        ThI 
    1      150.1        7868.19460000             1.0        ArI 
    1      277.4        7875.46260000             1.0       ThII 
    1      469.0        7886.28300000             1.0        ThI 
    1      554.6        7891.07500000             1.0        ArI 
    1      600.2        7893.61910000             1.0        ThI 
    1      708.7        7899.62290000             1.0         Th 
    1      721.3        7900.32000000             1.0        ThI 
    1     1016.2        7916.44200000             1.0        ArI 
    1     1174.6        7924.99140000             1.0        ThI 
    1     1413.7        7937.73350000             1.0        ThI 
    1     1489.2        7941.72590000             1.0        ThI 
    1     1735.1        7954.59230000             1.0        ThI 
    1     1781.0        7956.97400000             1.0        ArI 
