 # ID       Xpix           Wavelength          Intens       Line 
    1     1579.4        4575.42590000             1.0       ThII 
    1     1883.5        4584.65180000             1.0         Th 
    1      813.5        4551.47360000             1.0        ThI 
    1      834.7        4552.15360000             1.0        ThI 
    1      887.4        4553.83760000             1.0       ThII 
    1      949.4        4555.81270000             1.0        ThI 
    1      967.5        4556.38720000             1.0         Th 
    1     1029.5        4558.34580000             1.0        ThI 
    1     1052.0        4559.05710000             1.0        ThI 
    1     1060.0        4559.31200000             1.0        ThI 
    1     1124.8        4561.34770000             1.0        ThI 
    1     1148.2        4562.08030000             1.0        ThI 
    1     1160.8        4562.47560000             1.0        ThI 
    1     1452.2        4571.53120000             1.0         Th 
