 # ID       Xpix           Wavelength          Intens       Line 
    1     1760.0        6090.44820000             1.0        ThI 
    1     1929.4        6097.19450000             1.0       ThII 
    1     1952.8        6098.12050000             1.0         Th 
    1     1970.1        6098.80310000             1.0        ArI 
    1      378.9        6032.87260000             1.0        ThI 
    1      391.4        6033.41310000             1.0        ThI 
    1      432.3        6035.19230000             1.0        ThI 
    1      468.6        6036.76220000             1.0        ThI 
    1      490.1        6037.69750000             1.0        ThI 
    1      512.9        6038.68050000             1.0        ThI 
    1      603.9        6042.58980000             1.0        ThI 
    1      618.6        6043.22330000             1.0        ArI 
    1      704.7        6046.89770000             1.0       ArII 
    1      755.2        6049.05100000             1.0        ThI 
    1      800.8        6050.98180000             1.0        ThI 
    1      842.0        6052.72290000             1.0        ArI 
    1      857.5        6053.38080000             1.0        ThI 
    1      910.1        6055.59370000             1.0        ThI 
    1      971.8        6058.18130000             1.0       ThII 
    1     1000.2        6059.37250000             1.0        ArI 
    1     1052.0        6061.53610000             1.0        ThI 
    1     1129.5        6064.75080000             1.0        ArI 
    1     1154.1        6065.77990000             1.0        ThI 
    1     1171.5        6066.49730000             1.0       ThII 
    1     1185.5        6067.08030000             1.0       ThII 
    1     1232.5        6069.02070000             1.0        ThI 
    1     1264.6        6070.34120000             1.0         Th 
    1     1331.8        6073.10360000             1.0       ThII 
    1     1429.7        6077.10570000             1.0        ThI 
    1     1448.5        6077.87280000             1.0        ThI 
    1     1462.0        6078.42120000             1.0        ThI 
    1     1481.7        6079.22270000             1.0        ThI 
    1       63.6        6018.99340000             1.0       ThII 
