 # ID       Xpix           Wavelength          Intens       Line 
    1     1976.9        7350.81400000             1.0        ArI 
    1      129.9        7258.17700000             1.0        ThI 
    1      262.1        7265.17240000             1.0        ArI 
    1      366.6        7270.66360000             1.0        ArI 
    1      641.5        7284.90330000             1.0        ThI 
    1      652.1        7285.44370000             1.0        ArI 
    1      864.3        7296.26590000             1.0        ThI 
    1      901.4        7298.14340000             1.0        ThI 
    1     1045.7        7305.40430000             1.0       ThII 
    1     1110.4        7308.64180000             1.0        ThI 
    1     1239.7        7315.06610000             1.0        ThI 
    1     1258.6        7316.00500000             1.0        ArI 
    1     1405.0        7323.21060000             1.0        ThI 
    1     1437.6        7324.80730000             1.0        ThI 
    1     1533.6        7329.49160000             1.0        ThI 
    1     1659.0        7335.57720000             1.0       ThII 
    1     1704.7        7337.78120000             1.0       ThII 
    1     1742.5        7339.60350000             1.0        ThI 
    1     1798.6        7342.29950000             1.0        ThI 
    1     1804.3        7342.57690000             1.0        ThI 
    1     1863.3        7345.39960000             1.0        ArI 
